Gender;Age;Condition;Preferences_human_versus_robotic_replacement;Attention_check;Qualitative_question;Education;Occupation;Income
1;18;0;1;2;At least in option A, some people still maintain their job, or at least get a new job. In option B people lose their job and the jobs are practically disappear, because robots replace them. That is bad for our economy. What if all business starting doing that? replacing their employees with robots. No jobs would be left. And the whole purpose of business that contribute something to society (employment) would be lost.      So, Option A.;2;10;1
2;24;0;1;2;If there is no significant difference in out put when replacing employees with robots then it would be better to give jobs to people who might need them.;6;10;1
1;18;0;1;2;I think the more ethical choice would be to chose a human employee versus a robot. If I were part of this company I wouldn't like to work with a robot. Furthermore I believe that choosing a robot would result in uprising questions about the companies goals. I also believe that hiring the right human employee would benefit the company more than a robot as they are more competent and have more experiences. ;2;10;1
2;21;0;1;3;In the future most people are going to be replaced by robots. It is cost efficient and maybe better for the company but I prefer that a human being would make decisions and work hard for a task. In that way people will develop themselves and learn more about life.;3;6;1
2;18;0;1;2;It is ethically better to create employment even though robots may cost less money.;2;10;1
1;22;0;2;2;you replace people for other people, then you should train the onces you already have.  Robots replacing people is so much: cooler and effectieve and innovative, THAT IS THE FUTURE;3;4;1
1;18;0;1;2;For the employment rate in this area is work important for these people, because of the current economic situation. ;2;4;1
2;19;0;1;3;If robots take the places of other people than there are no working spaces left for people. If it is replaced by other people than it is replaced by people without a job.;2;4;1
2;19;0;1;3;I prefer to work with people over robots. A robot can't be a motivator for the rest of the company, it can't do anything else than what it is programmed to do and you can't learn a robot anything. Where people can learn to do new things and make progress and they can make there coworkers feel more at home because there can also be an informal relationship.;2;4;1
1;18;0;1;2;I think it's a difficult choose between people and robots. But if they are both better, I will prefer people, because they need work. ;2;1;1
1;17;0;2;2;I think that it is easier to replace the employees by robots, as new employees do also need to be trained and motivated, while robots only need to be programmed in order to get the job done. In addition, robots will do everything that needs to be done (like working overtime), while employees are not always as obedient and do not always have the time to work overtime. Therefore, I think that it will be smarter to invest in robots rather than in new employees.;3;10;1
2;21;0;1;2;Humans need money to earn a living, robot's don't. Now I know that sooner or later robot's will takeover a lot of the jobs, just look at the self-driving cars now, when they become better driven than people can drive them all transport will be done by self driving trucks and the insurance companies would love that idea as well.    So i guess in the story there could be a bit more context, of course some jobs are better left to people and some other jobs that could greatly increase a company's efficiency by switching to robots should be switched to robots.;3;1;1
2;19;0;1;3;i trust real humans more when performing a task, and else people won't have work;2;1;5
2;18;0;1;2;It's it better for the economy, the company and the employees themselves if there are a lot of people working instead of doing nothing.;2;4;1
2;18;0;2;2;I think robots are a better option when we are looking at the future. Besides robots do not get pregnant or something, so robots are in general better for the continiousness of the organisation.;2;1;1
1;19;0;2;2;I chose for the robots, since I believe it is unfair to fire employees and then hire people from an external supplier to do the exact same task.  I think the employees would feel less 'damaged' with their job loss if the company replaces them for robots, as robots are computers. Also, the employees might find it interesting that robots will fulfill their tasks, opposed to feeling left out because other employees are now doing their jobs.  If I were an employee at this company, I would feel betrayed if the company fires me and then hires new employees, since they had fired me with the excuse that there wasn't enough money.;4;1;1
2;20;0;2;2;Robots are better than people. You probably don't need as many robots as you need people. When you look at a longterm perspective this will be more efficient. ;2;4;1
1;19;0;2;3;The robots will stay longer in the company and will always work;2;10;1
